Abbreviate,abbr
Above Mean Sea Level,AMSL
Above Water Warfare,AWW
Absent Without Leave,AWOL
Abstract of Evidence,A of E
Accommodation,accn
Account,acct
Accounting Unit,AU
Acknowledge,ack
Action,act
Action Information Organization,AIO
Actual Time of Arrival,ATA
Additional (ly),addl
Address,adds
Address Indicating Group,AIG
Adjutant,adjt
Administer/Administration/Administrative,admin
Administrative Control,ADCON
Administration and Logistics,A&L
Administrative Order,AdminO
Advance,adv
Advance Trade Training,ATT
Advantage,advtg
After Action Review,AAR
Air Command Operations Centre,ACOC
Air Control Team,ACT
Air Defence Artillery,ADA
Air Defence Control Centre,ADCC
Air Defence Commander,ADC
Air Defence Clearance,ADC
Aid-de-Camp,ADC
Air Defence Plan,ADP
Air Defence Exercise,ADEX
Air Defence Ground Environment,ADGE
Air Defence Identification Zone,ADIZ
Air Defence Notification Centre,ADNC
Air Defence Operations Centre,ADOC
Air Defence Weapon System,ADWS
Air Force Doctrine Document,AFDD
Air Force Instruction,AFI
Air Force Letter,AFL
Air Force Order,AFO
Air Intelligence Preparation of the Battle Space,AIPB
Air Liaison Net,ALN
Air Liaison Officer,ALO
Air Operations Command Centre,AOCC
Air Operation Directive,AOD
Air Operations Plan/Area of Operation,AOP
Air Operations Planning Process,AOPP
Air Raid Precaution,ARP
Air Raid Reporting Control Ship,ARRCS
Air Support Operations Centre,ASOC
Air Surveillance Radar,ASR
Airspace Control,ASCON
Airspace Control Authority,ACA
Airspace Control Measures,ACM
Airspace Control Order,ACO
Air Control Post,ACP
Allied Communications Publication,ACP
Airspace Control Plan,ACP
Air Tasking Order,ATO
Air to Air Guided Weapon,AAGW
Air to Air Missile/Guided Missile/Guided Weapon,AAM/AAGM/AAGW
Air to Air Refuelling,AAR
Air to Surface Guided Weapon,ASGW
Air to Surface Missile,ASM
Air Traffic Control,ATC
Air Traffic Control Centre,ATCC
Airborne Early Warning,AEW
Airborne Warning and Control (System),AWACS
Aircraft,ac
Aircraft Accident Investigation,AAI
Aircraft Establishment,AE
Aircraft Maintenance Manual,AMM
Aircraft on Ground,AOG
Airfield,airfd
Airhead,ahd
All Up Weight,AUW
Allocate,alloc
Allotment,alot
Allowance,allce
Alter Course,a/c
Alternate,altn
Alternative Supply Route,ASR
Altitude,alt
Ambulance,amb
Amendment,amdt
Ammunition,ammo
Amphibious,amph
Amphibious Beach Unit,ABU
Amphibious Task Force,ATF
Annex,anx
Annual Confidential Report,ACR
Annual Performance Report,APR
Annual Training Grant,ATG
Answer (s),ans
Anti-Tank,Atk
Anti-Aircraft,AA
Anti Aircraft Artillery,AAA
Anti-Aircraft Defence Commander,AADC
Anti-Personnel,Apers
Anti-Tank Guided Missile,ATGM
Anti-Tank Guided Weapon,ATGW
Anti-Tank Missile,ATM
Anti-Air Warfare,AAW
Anti-Air Warfare Coordinator,AAWC
Anti-Radiation Missile,ARM
Anti-Ship Missile,ASM
Anti-Ship Missile Defence,ASMD
Anti-Submarine Warfare,ASW
Anti Surface Force Operations,ASFO
Anti-Surface-Vessel Warfare,ASVW
Anti-Surface Warfare,ASuW
Appendix,appx
Appoint,appt
Appreciate,aprc
Approach,app
Application/Applications,appl
Approximate,approx
Area Defence Missile System,ADMS
Area Finance Controller,AFC
Area of Interest,AOI
Area of Operation,AOP
Area Maritime Headquarters,AMHQ
Armament,armt
Armed Forces,AF
Armed Forces Division,AFD
Armed Forces Medical Stores Depot,AFMSD
Armed Forces War Course,AFWC
Armour,armr
Armour Piercing Discarding Sabot,APDS
Armour Piercing Fin Stabilized Discarding Sabot,APFSDS
Armour Piercing Incendiary,API
Armoured,armd
Armoured Command Vehicle,ACV
Armoured Fighting Vehicle,AFV
Armoured Personnel Carrier,APC
Armoured Recovery Vehicle,ARV
Armoured Vehicle Launched Bridge,AVLB
Army Air Corps,AAC
Army Aviation Unit,AAU
Army Doctrinal Publication,ADP
Army Dress Regulations,ADR
Army Headquarters,AHQ
Army Post Office,APO
Army Regulations (Regulations)/(Instructions),AR (R)/(I)
Army Security Unit,ASU
Army Sports Control Board,ASCB
Army Training and Doctrine Command,ARTDOC
Army Training Note,ATN
Army Training Manual,ATM
Army Training Publication,ATP
Arrange,arng
Arrive,arr
Article(s) in use,A in U
Artillery,arty
Artillery Course Shooting,ACS
As Soon as Possible,ASP
Assailability,asl
Assault,aslt
Assault Ship (Landing Platform Dock),LPD
Assembly,assy
Assembly Area,Assy A
Assign,asg
Assist,asst
Assistant Engineer,AE
Assistant Garrison Engineer,AGE
Asymmetric Warfare,AW
Attach,att
Attack,attk
Attend,atnd
Attention,attn
Authenticate,authen
Attack Helicopter,AH
Automated Air Tasking Order,AATO
Authorized Proportion,AP
Authorize,auth
Automatic Direction Finder,ADF
Auxiliary,aux
Auxiliary Effort,AE
Auxiliary Gathering Intelligence,AGI
Auxiliary Power Unit,APU
Avenue of Approach,AA
Average,avg
Aviation,avn
Aviation Gasoline,AVGAS
Aviation Oil,AVOIL
Axis of Advance,A of A
Azimuth,az
"Avenue of Approach, Anti-Aircraft",AA
Airborne; After Burner,AB
Air Defence/Despatch,AD
Air Defence Area; Action Data Automation; Air Defence Alert,ADA
Advanced Dressing Station; Air Despatch Service,ADS
Above Ground Level; Automatic Grenade Launcher,AGL
Air Interdiction; Artificial Intelligence,AI
Air Intelligence; Air Interception,AI
Army Instruction Bangladesh; Air Investigation Board,AIB
Air Liaison Officer; Air Electrical Officer,ALO
Above mentioned; Aforementioned,a/m
Amplitude Modulated/Modulation,AM
Army Maintenance Area; Airhead Maintenance Area,AMA
Armoured/Artillery Officers Basic Course,AOBC
Area of Responsibility; Aircraft Occurrence Report,AOR
Armed Police; Armour Piercing,AP
Ammunition Point; Air Publication,AP
Appropriate(ly)/Appropriation,appr
Animal Transport; Air Transport,AT
Actual Time of Departure; Army Training Directive,ATD
Army Training Instruction; Annual Technical Inspection,ATI
Automatic (ally)/Automation,auto
Available/ availability,aval
Bangladesh Navy Ship,BNS
Bangladesh Navy Sports Control Board,BNSCB
Bangladesh Navy Tug,BNT
Bangladesh Ordnance Factory,BOF
Barrack,bk
Base Headquarters,BHQ
Base Supply Depot,BSD
Bangladesh University of Professionals,BUP
Bangabandhu Sheikh Mujibur Rahman Maritime University,BSMRMU
Base Workshop,Bwksp
Basic Ordering Agreement,BOA
Basic Map Reading,BMR
Basic Trade Training,BTT
Battalion,bn
Battery,bty
Battery Command Post,BCP
Battle,btl
Battlefield Operating System,BOS
Battlefield Synchronization Matrix,BSM
Battle Group,BG
Battle Inoculation,BI
Battlefield Air Interdiction,BAI
Beachhead,bhd
Beacon,bcn
Bearing,bg
Beyond Economic Repair,BER
Beyond Local Repair,BLR
Beyond Visual Range,BVR
Bibliography,bib
Biological Warfare,BW
Binocular,Bino
Bir Bikram,BB
Bir Protik,BP
Bir Srestha,BS
Bir Utttam,BU
Bivouac,biv
Board of Enquiry,BOE
Board of Inquiry,BOI
Board of Officers,B of O
Boatswain,BOS'N
Bomber,B
Bombing,Bx
Bombing Report,BOMBREP
Border Guard Bangladesh,BGB
Boundary,bdry
Branch Recruiting Unit,BRU
Break Clean Line,BCL
Break Up Shot,BUS
Bridgehead,brH
Brigade,bde
Broadcast,bro
Budget,bgt
Built Up Area,BUA
Bulk Breaking Point,BBP
Butchery,bchy
Build-Operate-Transfer,BOT
Cadet,cdt
Calculate,cal
Calibrate,calb
Camouflage,cam
Camouflage and Concealment,C/C
Canalize,cnz
Cantonment Executive Officer,CEO
Canteen Stores Department,CSD
Cantonment,cantt
Capability,cap
Capture,capr
Care and Maintenance,C&M
Carpenter,carp
Carrier Controlled Approach,CCA
Carry,carr
Camouflage Concealment and Deception,CCD
Cartesian Coordinate Grid,CCG
Cartridge,cart
Casual Leave,C Lve
Casualty Evacuation,CASEVAC
Categorize,cat
Cathode Ray Tube,CRT
Cavalry,cav
Central Ammunition Depot,CAD
Central Mechanical Transport Depot,CMTD
Central Officers' Record Office,CORO
Central Ordnance Depot,COD
Central Processing Unit,CPU
"Centralize, Centre",cen
Centre of Gravity,CG
Centre for Naval Researach and Development,CNRD
Certify/Certificate,cert
Channel/Channelize,ch
Chemical Warfare,CW
"Chemical, Biological, Radiological and Nuclear",CBRN
Chattogram Hill Tracts,CHT
Check,chk
Circuit,cct
Circular,cir
Circular Error Probability,CEP
Civil (ian),civ
Civil Affairs,CA
Civil Military Relations,CMR
Class/Classify,cl
Clearance Diver,CD
Clearance Diving Team,CDT
Clear/Clearance,clr
Clerk,clk
Close Air Support,CAS
Close in Weapon System,CIWS
Closest Point of Approach,CPA
Close Quarter Battle,CQB
Close Quarter Combat,CQC
Coastal Radar Station,CRS
Co-locate,coloc
Column,colm
Combat,cbt
Combat Supply,C sup
Combat Search and Rescue,CSAR
Combat Air Patrol,CAP
Combat Decision Making Process,CDMP
Combat Group,cbt G
Combat Information Centre,CIC
Combat Team,cbt T
Combat Vehicle Reconnaissance (Tracked or Wheeled),CVR(T) or (W)
Combat Zone,CZ
Combine,comb
Combined Anti-Submarine Exercise,CASEX
Combined Military Hospital,CMH
Command (er),comd
Commander’s Critical Information Requirement,CCIR
Commandant,comdt
Command and Control,C2
"Command and Control (C2), and Intelligence, Surveillance and Reconnaissance (ISR) Systems",C2ISR
Command Post Exercise,CPX
"Command, Control and Communications",C3
"Command, Control, Communication, Computer and Intelligence",C4I
"Command, Control, Communication, Computer, Intelligence, Surveillance and Reconnaissance",C4ISR
Commander Amphibious Task Force,CATF
Commander Landing Force,CLF
Commander’s Critical Information Requirement,CCIR
Commander in Chief,C in C
Commander Task Element/Force/Group/Unit,CTE/F/G/U
Commando,cdo
Commitment,cmt
Communication Centre,COMCEN
Communication Head,COMHD
Communication Intelligence,COMINT
Communication Plan,COMPLAN
Communication Security,COMSEC
Communication Zone,CommZ
Company,coy
Comparative Statement,CST
Competent Financial Authority,CFA
Competition,cmpt
Composite,comp
Composite Brigade,COMBDE
Composite Maintenance Group,CMG
Composition,composn
Composition Exploding,CE
Computer,com
Computer Assisted Action Information System,CAAIS
Computer Assisted Exercise,CAX
Concealment,conct
Concentrate,conc
Concept of Operation,C of O
Conclude/Conclusion(s),concl
Concentration Area,Conc A
Conference,conf
Confidential(ity),confd
Confirm,cfm
Confirmatory Notes,CN
Construct,constr
Contingency,contg
Contingent,contgt
Contingent Owned Equipment,COE
Continue,cont
Control,ctrl
Control and Reporting,C&R
Control Zone (air traffic),CTZ
Convalesce,convl
Conventional,conv
Conventional Warfare,CW
Conventional Warfare Force,CWF
Conversation,cnsn
Concept of Composite Air Operations,COMAO
Condition,cond
Consider/Consideration,cons
Cook,ck
Cooperation,coop
Coordinate,coord
Coronary Care Unit,CCU
Correction,corrn
Correspondence,Corres
Corrugated Galvanized Iron,CGI
Counter Attack,C attk
Counter Countermeasure,CCM
Counter Insurgency Operation,CIO
Counter Intelligence,C int
Counter Penetration,C pen
Countermeasure,CM
Course of Action,COA
Court of Inquiry,C of I
Critical Capability,CC
Critical Event(s),CE
Critical Requirement,CR
Critical Vulnerability,CV
Cross(ing),X
Cross road,xrd
Crypto Centre,CRYPCEN
Culminating Point,cul P
Cumulative Grade Point Average,CGPA
Cyber,cyb
Cyber Warfare,cybW
Cycle Ending Exercise,CEE
Daily Maintenance,DM
Dangerously Ill,DI
Date,dt
Date-Time-Group,DTG
Dangerously Ill List,DIL
Dead Reckoning,DR
Debit Voucher,DV
Debussing point,D pt
Decision Making Process,DMP
Decision Support Template,DST
Decisive Conditions,DC
Decontaminate,decon
Deck Decompression Chamber,DDC
Deck Landing,DL
Defensive Counter-Air,DCA
Defensive Counter Air Operations,DCAO
Defence Committee of the Cabinet,DCC
Defender Class Boat,DCB
Degaussing,DG
Degree,Deg
Deliberate Decision Making Process,DDMP
Deliver,del
Demand,dmd
Demi-official,DO
Demolish,dml
Demonstrate,demo
Department(al),dept
Deploy,depl
Deputy,Dy
Designate(s),des
Destroyer,DD
Destroyer (Guided),DD(G)
Detach,det
Detachment Ground Study Section,DGSS
Develop,dev
Diagram,diag
Diesel Oil,dieso
Different/Difference,diff
Direct(ed/ing),dir
Director,Dir
Direct Support/Directing Staff,DS
Director Engineers,D Engrs
Directorate,dte
Director General,DG
Directorate General Defence Purchase,DGDP
Directorate General Forces Intelligence,DGFI
Directorate General Medical Service,DGMS
Disadvantage,disadv
Disaster Management,DM
Disburse/Disbursement,disb
Discipline,discip
Discuss/Discussion,disc
Disengagement,disengt
Dispersal,disp
Dispersal Area,Disp A
Disposition,disposn
Distance,dstn
Distance Measuring Equipment,DME
Distribute/Distribution,distr
District,dist
Divide(d)/Division,div
Divisional Administrative Area,DAA
Docking and Essential Defects,DED
Dockyard,dyd
Dockyard and Engineering Workshop,DEW
Doctrine,doc
Doctrine Development Process,DDP
Doctrinal Template,DOCTEMP
Document,docu
Double Side Band,dsb
Dozen,doz
Draft for Approval,DFA
Drop Zone,DZ
Earmark,emk
East Bengal,"EB, E Bengal"
Echelon,ech
Economy,econ
Education Training Grant,ETG
Education(al),edn
Effect/Effective,eff
Effect Based Operation,EBO
Effective Sonar Range,ESR
Electronic Emission Control,EMCON
Electrical (BN Branch),L
Electrical and Mechanical,E&M
Electrical and Mechanical Engineering Regulations,EMER
Electro Magnetic Pulse,EMP
Electronic Protection Measure,EPM
Electronic (Warfare) Support Measure,ESM
Electronic Counter Countermeasures,ECCM
Electronic Countermeasures,ECM
Electronic Flight Instrument System,EFIS
Electronic Intelligence,ELINT
Emergency Locator Transmitter,ELT
Engine Maintenance Manual,EMM
Electronic Order of Battle,EOB
Element (al) (ary),elm
Embark,emb
Embussing Point,EP
Emergency,emg
Emplace,empl
Employ,emp
Enclose,encl
Enemy,en
Engagement,engt
Engagement Area,EA
Engine,eng
Engineer,engr
Engineer Construction Battalion,ECB
Engineer Construction Brigade,ECBDE
Engineering,engg
Envelope,env
Environment,envt
Equipment,eqpt
Equipment and Boot Repairer,E&BR
Equipment Collecting Point,ECP
Equipment Table,ET
Equivalent,eqvt
Essential Elements of Information,EEI
Essential Elements of Friendly Information,EEFI
Establish,estb
Estimate,est
Evacuate,evac
Evaluate,eval
Event Template,EVENTEMP
Examine,exam
Exchange,exch
Exchange of Life,E of L
Exclude,excl
Exclusive Economic Zone,EEZ
Execute,exec
Executive (BN Branch),(X)
Exercise,ex
Exfiltration,exfil
Expedite,xpd
Explanation,expln
Expense/Expenditure,exp
Explode/Explosion/Explosive,expl
Explosive Ordnance Disposal,EOD
Explosive Reactive Armour,ERA
Expenditure,exp
Extend/Extension/extended,ext
External,extl
Extra Regimental Employment,ERE
Excess Defence Articles,EDA
Estimated Time of Arrival,ETA
Estimated Time of Completion,ETC
Estimated Time of Departure,ETD
Facsimile,FAX
Favourable Air Situation,FAS
Fast Attack Craft,FAC
Fast Motor Boat,FMB
Fast Patrol Boat,FPB
Feet of Fresh Water,FFW
Feet of Sea Water,FSW
Forward Repair and Recovery Team,FRRT
Field,fd
Field General Court-Martial,FGCM
Field Intelligence Service,FIS
Field Intelligence Unit,FIU
Field of Fire,F of F
Field Post Office,FPO
Field Service Marching Order,FSMO
Field Service Regulations,FSR
Field Surgical Team,FST
Field Training Exercise,FTX
Fighter Controller Training Unit,FCTU
Fighter Engagement Zone,FEZ
Fighter Ground Attack,FGA
Fighter Reconnaissance,FR
Fight/Fighting,ftg
Fighting in the Build up Areas,FIBUA
Figure,fig
Final Handling Test,FHT
Finance,fin
Financial Year,FY
Finishing an Exercise (time of),FINEX
Fire and Move,F and M
Fire Control Data Computer,FCDC
Fire Control Equipment,FCE
Fire Control Director,FCD
Fire Control Instrument,FCI
Fire Control Radar,FCR
Fire Control System,FCS
Fire Fighting,F/F
Fire Support Coordination Centre,FSCC
Fire Support Coordination Line,FSCL
Fire Support Coordination Measures,FSCM
Fire Support Plan,FSP
Fixed Decompression Chamber,FDC
Fixed Wing,FW
Fleet Maintenance Group,FMG
Fleet Operational and Tactical Instruction,FOTI
Fleet Orders,FO
Flexible Steel Wire Rope,FSWR
Flight,flt
Flight Control System,FCS
Flight Level,FL
Flying,flg
Fly-Away Pack(s),FAPs
Flying Instructor Course,FIC
Folding Boat Equipment,FBE
Follow,fol
Foot/feet,ft
Formation,fmn
Forming-up Place,FUP
Forward,fwd
Forward Air Base,FAB
Forward Aiming and Refueling Point,FARP
Forward Air Support Operation Centre,FASOC
Forward Airhead Maintenance Area,FAMA
Forward Assembly Area,FAA
Forward Combat Zone,FCZ
Forward Control Post,FCP
Forward Defended Locality,FDL
Forward Edge of Battle Area,FFBA
Forward Line of Enemy Troops,FLET
Forward Line of Own Troops,FLOT
Forward Logistic Base,FLB
Forward Maintenance Area,FMA
Forward Operating Base,FOB
Forward Ordnance Depot,FOD
Forward Repair Team,FRT
Forward Repair and Recovery Team,FRRT
Fragment,frag
Fragmentary Order,FragO
Free Fire Zone,FFZ
Fresh Ration Allowance,FRA
Fresh Water,FW
Friendly Aircraft Movement (net),FAM
Friendly Forces Information Requirements,FFIR
Frigate (Guided),FF(G)
Function,func
Functional Check Flight,FCF
Furnace Fuel Oil,FFO
Furthest-on Circles,FOC
Gallon per minute,gpm
Garrison,gar
Garrison Duty Officer,GDO
Garrison Engineer,GE
General Court Martial,GCM
General Duties,GD
General List,GL
General Operations Plot,GOP
General Purpose Machine Gun,GPMG
General Service Training Pamphlet/Publication,GSTP
General Staff,GS
General Staff Policy Committee,GSPC
General Transport,GT
Generalize,gen
Geographical Reference System,GEOREF
Global Maritime Distress and Safety System,GMDSS
Global Positioning System,GPS
Government,govt
Government Order,GO
Grade Point Average,GPA
Grenade,gren
Ground,grd
Ground Based Air Defence,GBAD
Ground Controlled Approach,GCA
Ground Controlled Interception,GCI
Ground Support Equipment,GSE
Ground Power Unit,GPU
Ground of Tactical Importance,GTI
Ground Zero,GZ
Group (ed/ing),gp
Group Testing Officer,GTO
Group Training,GPT
Guard (ed/ing),gd
Guided Missile,GM
Guided Missile Destroyer,DDG
Guided Weapon System,GWS
Gun Controller,GC
Gun Direction Room,GDR
Gun Defended Area,GDA
Gun Position Indicator,GPI
Gun System Automation,GSA
Gun Target Bearing,GTB
Harbour,har
Harbour Acceptance Trial,HAT
Hardened Aircraft Shelter,HAS
Head,hd
Headquarters,HQ
Heavy Anti-Aircraft,HAA
Heavy Cruiser,CA
Heavy/Heavily,hy
Height,ht
Helicopter,heli
Helicopter Attack Group,HAG
Helicopter Control Ship,HCS
Helicopter Operations from Ships other than Aircraft Carriers,HOSTAC
High Density Airspace Control Zone,HIDACZ
High Explosive Anti-Tank,HEAT
High Explosive Incendiary Tracer,HEIT
High Explosive Squash Head,HESH
High Explosive Tracer,HET
High Level Air Defence,HLAD
High Pay Off Target,HPT
High Power,HP
High Tension,HT
High to Medium Altitude Air Defence,HIMAD
High Value Target,HVT
High Value Air Assets,HVAA
High Water,HW
History,hist
Hollow Charge,HC
Hostile Battery,HB
Howitzer,how
Humanitarian Assistance and Disaster Relief/Response,HADR
Hygiene,hyg
Hybrid Warfare,HW
Identification Friend or Foe,IFF
Identify,ident
Identity Card,ID
Illuminate,illum
Immediate,imm
Immediate Photographic Interpretation Report,IPIR
Important/Importance,imp
Improve(d/ment/ing),impv
Improvised Explosive Device,IED
Improvised Explosive Device Disposal,IEDD
In respect of,iro
In Support and Under Command for Movement,INSPUCM
Include,incl
Incorporate,incorp
Increase/Increment,incr
Independent,indep
Indicated Air Speed,IAS
Individual(ity) (ly),indl
Individual Physical Fitness Test,IPFT
Infantry,inf
Infantry Battalion in Battle,IBIB
Infantry Fighting Vehicle,IFV
Infiltration,infil
Inflatable Boat for SEAL,IBS
Inform(ation),info
Information Technology,IT
Information Warfare,IW
Infra-Red,IR
Inshore Minesweeper,IMS
Inspection,insp
Install,instl
Instruct,instr
Instrument Flight Rules,IFR
Instrument Landing System,ILS
Instrument Meteorological Condition,IMC
Intelligence and Electronic Warfare,IEW
Interactive Electronic Technical Publications,IETP
Illustrated Parts Catalogue,IPC
Intelligence Preparation of Battlefield,IPB
Intelligence Summary,INTSUM
Intelligence Synchronization Matrix,ISM
Intelligent Report,INTREP
Intensive Care Unit,ICU
Inter Service Public Relation,ISPR
Inter Services Selection Board,ISSB
Internal Communication,intercom
Intercontinental Ballistic Missile,ICBM
Intermediate,intmed
Intermediate Range Ballistic Missile,IRBM
Internal,itrl
Internal Affairs,IA
Internal and External Affairs,I&EA
Internal Security,IS
International,intl
International Armed Conflict,IAC
International Compressed Air Breathing Apparatus,ICABA
International Committee of Red Cross,ICRC
International Maritime Boundary Line,IMBL
International Maritime Satellite System,INMARSAT
Interrogate,intg
Introduce,intro
Investigation,invstg
Issue Voucher,IV
Jamming Report,JAMREP
Joint,jt
Joint Force,JF
Joint Forces Headquarters,JFHQ
Joint Command Centre,JCC
Joint Command Operations Centre,JCOC
Joint Force Commander,JFC
Joint Interrogation Cell,JIC
Joint Integrated Prioritized Target List,JIPTL
Joint and Miscellaneous Training,J&MT
Joint Operations Centre,JOC
Joint Operation Coordination Centre,JOCC
Joint Planning Staff,JPS
Joint Plan and Project,Jt P&P
Joint Services Instructions,JSI
Joint Services Publication,JSP
Joint Services Staff Duties Manual,JSSDM
Joint Task Forces Commander,JTFC
Joint Targeting Coordination Board,JTCB
Joint Task Force Headquarters,JTFHQ
Joint Warfare,JW
Junction,Junc
Judge Advocate General,JAG
Junction Point,JP
Jungle Lane Shooting,JLS
Jungle Warfare,juW
Junior,jr
Junior Command and Staff Course,JCSC
Key Point,KP
Key Point Installation,KPI
Key Terrain,KT
Khulna Shipyard,KSY
Killed in Action,KIA
Killing Ground,KG
Killing Zone,KZ
Kinetic Energy,KE
Knock(ed) Out,KO
Kilometer Per Liter,kpl
Kerosene,kero
Landing Area,LA
Landing Craft Logistics,LCL
Landing Craft Personnel,LCP
Landing Craft Tank/Utility,LCT/U
Landing Craft Vehicle and Personnel,LCVP
Landing Ground,LG
Landing Platform Dock (Assault Ship),LPD
Landing Platform Helicopter,LPH
Landing Ship Logistic,LSL
Landing Ship Tank,LST
Landing Site,LS
Landing Zone,LZ
Large Scale Small Group Operation,LSSGO
Laser Guided Bomb,LGB
Laser Range Finder,LRF
Last Ration Certificate,LRC
Latitude/latitudinal(ly),lat
Law of Armed Conflict,LOAC
Leader,ldr
Leave,lve
Leave Ration Allowance,LRA
Left Out of Battle,LOB
Letter,ltr
Letter of Assist/Acceptance,LOA
Letter of Intent/Interest,LOI
Letter of Request,LOR
Level,lvl
Liberation War,LW
Light Aid Detachment,LAD
Light Aircraft Cruiser,CVL
Light Anti-Aircraft,LAA
Light Machine Gun,LMG
Limited,ltd
Limited Line of Submerged Approach,LLSuA
Line(s) of Communication,L of C
Line of Control,LOC
Line of Defence,L of D
Line of Departure,LOD
Line of Fire,LOF
Line of March,LOM
Line of Operation,LOO
Line of Sight,LOS
Listening post,LP
Local Anti-Air Warfare Coordinator,LAAWC
Local Area Network,LAN
Local Air Superiority,LAS
Local Operations Plot,LOP
Location Statement,LOCSTAT
Logistic Exercise,LOGEX
Logistic Exercise Without Troops,LEWT
Logistics (al)(s),log
Long Course,LC
Long Range,LR
Long Range Air Navigation,LORAN
Loose Minute,LM
Lorry,lor
Low Flying Area,LFA
Low Frequency,LF
Low Intensity Conflicts,LIC
Low Level,LL
Low Looking Radar,LLR
Low Level Air Defence,LLAD
Low Tension,LT
Low Level Transit Route,LLTR
Low Intensity Maritime Operations,LIMO
Low to Medium Altitude Air Defence,LOMAD
Low Water,LW
Lubricate,lub
Machine Gun,MG
Machinery Control Room,MCR
Magnetic Anomaly Detection,MAD
Main Battle Tank,MBT
Main Communication Office,MCO
Main Defensive Zone,MDZ
Main Dressing Station,MDS
