Abbreviate,abbr
Main Operating Base,MOB
Main Signal Office,MSO
Main Supply Route,MSR
Maintain,maint
Maintenance Area,MA
Maintenance Check Flight,MCF
Maintenance Planning Manual,MPM
Maintenance Unit,MU
Major(ity),maj
Manage,mng
Management,mgt
Man Portable Air Defence,MANPAD
Manoeuver,mnvr
Manually Operated Gun,MOG
Manual of Bangladesh Military Law,MBML
Map Reading,MR
Marine Sound Signal,MSS
Maritime Air Operations,MAO
Maritime Domain Awareness,MDA
Maritime Headquarters,MHQ
Maritime Interdiction Operations,MIO
Maritime or Master (titles etc.),M
Maritime Patrol Aircraft,MPA
Maritime Radar Reconnaissance,MRR
Maritime Rescue Coordination Centre,MRCC
Maritime Rescue Sub-centre,MRSC
Mark,mk
Master Air Attack Plan,MAAP
Maximum/Maximize,max
Maximum Effective Range,MER
Meal Ready to Eat,MRE
Mean High Water Springs,MHWS
Mean Line of Advance,MLA
Mean Low Water Springs,MLWS
Mean Point of Impact,MPI
Mean Sea Level,MSL
Mechanical Transport Officer,MTO
Mechanize,mech
Mechanized Infantry Combat Vehicle,MICV
Medical Evacuation,MEDEVAC
Medical Inspection,MI
Medium Frequency,MF
Medium Machine Gun,MMG
Medium Range Anti-Submarine Torpedo-Carrying Helicopter,MATCH
Medium Range Surface to Air Missile,MSAM
Memorandum,memo
Memorandum(s) of Understanding,MOU
Message,msg
Mile per hour,mph
Miles per gallon,mpg
Military,mil
Military Credit Note,MC Note
Military Dental Centre,MDC
Military Engineering Services,MES
Military Intelligence,MI
Military Load Classification,MLC
Military Operations,MO
Military Police,MP
Military Training Area,MTA
Military Training Pamphlet,MTP
Mine Counter Measure Vessel,MCMV
Mine Countermeasure,MCM
Ministry of Defence,MOD
Ministry of Defence Constabulary,MODC
Miscellaneous,misc
Missile,msl
Missile Engagement Zone,MEZ
Missing in Action,MIA
Mission,msn
Mission Essential Task,MET
Mission Oriented Training,MOT
Mission Report,MISREP
Mobile Dental Unit,MDU
Mobile Forward Base,MFB
Mobile Surgical Team,MST
Mobile Technical Detachment,MTD
Model Discussion,MD
Mortar,mor
Mortar Bombing Report,MORTREP
Motor Fishing Vessel,MFV
Motor Launch,ML
Motor Torpedo Boat,MTB
Mount,mt
Mountain,mtn
Mountain Warfare,MW
Move,mov
Movement Order,MovO
Moving Target Indicator,MTI
Multiple Launch Rocket System,MLRS
Multiple Rocket Launcher,MRL
Muzzle Velocity,MV
Named Area of Interest,NAI
National,ntl
National Committee on Security Affairs,NCSA
National Security Intelligence,NSI
National Air Defence Committee,NADC
Naval Armament Inspection Organization,NAIO
Naval Armament Store Depot,NASD
Naval Aviation,NAV
Naval Commando Advance,NCA
Naval Commando Basic,NCB
Naval Commando Trade,NCT
Naval Control of Shipping,NCS
Naval Gunfire Support,NGS
Naval Headquarters,NHQ
Naval Inflatable Lifesaving Equipment,NILE
Naval Stores Depot,NSD
Naval Staff Policy Committee,NSPC
Navy Training and Doctrine Command,NATDOC
Navigate,nav
Navigation (BN only),N
Navigation and Direction (BN Only),ND
Navy Instructions,NI
Navy Regulations,NR
Necessary,nec
Network Centric Warfare,NCW
Next of Kin,NOK
Night (ly),ni
No Further Action,NFA
No Move Before,NMB
Nom De Plume,NDP
Non Directional Beacon,NDB
No Penetration Line,NPL
Not Applicable,NA
Not to all addressees,NOTAL
Nothing to Report,NTR
Notice to Airmen,NOTAM
Notice to Move,NTM
Nuclear,nuc
Nuclear Depth Bomb,NDB
Nuclear Killing Zone,NKZ
Nuclear Powered Guided Missile Submarine,SSGN
Nuclear Powered Submarine,SSN
Nuclear Reserved Area,NRA
"Nuclear, Biological and Chemical",NBC
"Nuclear, Biological, Chemical Defence Including Fire Fighting and Damage Control",NBCD
"Nuclear, Biological and Chemical Warfare",NBCW
Number,no
Observation,obsn
Observation Post,OP
Obstacle(s),obs
Occupation,occu
Off Shore Patrol Vessel,OPV
Offensive,offn
Offensive Air Support,OAS
Offensive Counter Air Operations,OCAO
Officer,offr
Officer Conducting the Exercise,OCE
Officer in Charge,OIC
Officers’ Basic Course,OBC
Officers’ Performance Report,OPR
Officiating,offg
On the Job Training,OJT
Operate/Operation,op
Operational Command,OPCOM
Operational Control,OPCON
Operational Demand,OPDEM
Operational Group Training,OGT
Operational Plan,Ops Plan
Operational Sea Training Group/Guide,OSTG
Operational Readiness Platform,ORP
Operation Order,OpO
Operation Other than War,OOTW
Oral Order,OO
Order (when used in conjunction with other words),O
Order of Battle,ORBAT
Order of March,OOM
Orders Group,O gp
Ordnance,ord
Ordnance Depot,ordep
Organize,org
Organized Armed Group,OAG
Originate/Original,orig
Other Rank (s),OR
Out Board Motor,OBM
Outdoor Patient Clinic,OPC
Overhaul Manual,OM
Over Head Cover,OHC
Over Head Protection/Projector,OHP
Over Staying Leave,OSL
Over the Horizon,OTH
Packet,pkt
Pamphlet,pamp
Paper Under Consideration,PUC
Passage in Line,P in L
Passage of Information,P of I
Passenger(s),pax
Passive Air Defence,PAD
Patrol,ptl
Patrol Craft,PC
Patrol Craft Squadron,PCS
"Pay, Pension and Allowance",PP&A
Peacekeeping Operations,PKO
Penetrate,pen
Precision Guided Munitions,PGM
Period (ic) (ical),pd
Periodical Intelligence Report,PERINTREP
Permanent (ly),perm
Personal Assistant,PA
Personal Computer,PC
Personal Radio Communications,PRC
Personal File,PF
Personnel Locator Beacon,PLB
Personnel Service,PS
Petroleum,pet
Petroleum Pipe Head,PPH
Petroleum Point,PP
"Petroleum, Oil and Lubricants",POL
Phase,ph
Photograph,photo
Physical Training,PT
Pioneer,pnr
Piquet,pqt
Pilot,plt
Plain Paper Copier,PPC
Plan Position Indicator,PPI
Planning,plg
Plastic Explosive,PE
Point,pt
Point Defence Missile System,PDMS
Populate,pop
Porter,por
Position,posn
Position and Intended Movement,PIM
"Position, Course and Speed",pcs
Possible/Possibility,poss
Post Commission Academic Training,PCAT
Power Point Presentation,ppt
Practice,prac
Pre-Action Calibration,PAC
Pre-Joining Training,PJT
Preliminary,prelim
Prepare,prep
Present/Presentation,pres
President of Mess Committee,PMC
President’s Guard Regiment,PGR
Previous,prev
Priority,pri
Priority Intelligence Requirements,PIR
Prisoners of War,POW
Private (ly),pte
Privilege Leave,P Lve
Principal Staff Officer/Peace Support Operation,PSO
Problem,prob
Procure,proc
Programme,prog
Project,proj
Propel,prop
Protective Fire,PF
Protocol and Ceremony,P&C
Provision,prov
Provost Marshal,PM
Psychology/Psychological,psy
Psychological Operations,psyops
Psychological Warfare,psyW
Public Information,P info
Put Up,PU
Put Up Separately,PUS
Qualified Flying Instructor,QFI
Qualified Helicopter Instructor,QHI
Qualified Weapon Instructor,QWI
Qualify/Qualified/Qualification,qual
Quantity,qty
Quarter,qtr
Quarter Ending,QE
Quarter Guard,QG
Question,ques
Quick Decision Making Process,QDMP
Quick Reaction/Response Force,QRF
Radar Control Gun,RCG
Radar Cross Section,RCS
Radiation Hazard,RADHAZ
Radio Active,rad A
Radio Detection and Ranging,Radar
Radio Teletype,RATT
Radius of Action,ROA
Railhead,rhd
Railway,rly
Rally Area,RA
Range,rng
Rank,rk
Rapid Action Battalion,RAB
Rapid Action Force,RAF
Rapid Demolition Device,RDD
Rapid Runway Repair,RRR
Rate of Climb,ROC
Rate of Descend,ROD
Rate of Fire,ROF
Ration Point,rat P
Ration Returns,RR
Ration(s),rat
Ready to Move,RTM
Rear Area,Rear A
Rear Combat Zone,RCZ
Rear Maintenance Area,RMA
Receive/ed,rcv
Recognize,recog
Recognised Air Picture/ Regimental Aid Post,RAP
Recognized Maritime Picture,RMP
Recommendation,recom
Reconnaissance Group,R gp
Reconnaissance/Reconnoitre,recce
Recreation Leave,R Lve
Recruit,rect
Refer/Reference(s),Ref(s)
Regiment (al) (ation),regt
Regimental Aid Post,RAP
Regimental Command Post,RCP
Regimental Headquarters,RHQ
Region Military Commander,RMC
Regulate,reg
Rehabilitate,rehab
Reimbursement,reim
Reinforcement,rft
Release Point,rel P
Remark,rmk
Remotely Piloted Vehicle,RPV
Repeated,rptd
Replace/Replacement,repl
Replacement at Sea,RAS
Replenish,replen
Represent,rep
Request,req
Require,reqr
Requisition,rqn
Research and Development,R&D
Reserve(s),res
Restricted/Restriction,restd
Respiratory Minute Volume,RMV
Responsible/Responsibility,resp
Retail Issue Shop,RIS
Retired,retd
Return to Base,RTB
Return to Unit,RTU
Revenue,rev
Rigid Hull Inflatable Boat,RHIB
Rifle,rfl
Rifleman,rfn
Right,rt
Rigorous Imprisonment,RI
River,riv
Road Head,rdH
Rocket,rkt
Rocket Launcher,RL
Rocket Propelled Grenade,RPG
Rounds per gun,rpg
Rounds per mortar,r/mor
Route March,RM
Router,rtr
Routine in Line,R in L
Routine Order,RO
Rules of Engagement,ROE
Rules of Engagement Authorization,ROEAUTH
Rules of Engagement Implementation,ROEIMP
Rules of Engagement Request,ROEREQ
Salvage,sal
Satellite Communication,SATCOM
Scene of Action Commander,SAC
Scheme of Manoeuvre,S of M
School of Maritime Warfare and Tactics,SMWT
Sea Air Land,SEAL
Sea Control Tactical Analysis Game,SEATAG
Sea Exercise Programme,SEP
Sea Lines of Communication,SLOC
Search and Rescue,SAR
Search and Rescue Beacon,SRB
Search Attack Unit,SAU
Search Light,SL
Secretariate/Secretarial,sectt
Secretary,secy
Sector/Squadron Headquarters,SHQ
Sector Operation Centre,SOC
Security,sy
Security Intelligence Report,SIR
Selective Stockade List,SSL
Self Loading Rifle,SLR
Seriously Ill List,SIL
Senior (ity),sr
Sena Kalyan Shangstha,SKS
Sequence,seq
Serial (ly) (ity),ser
Service,svc
Shelling Report,SHELREP
Ship Controlled Approach,SCA
Ships Taken up from Trade,STUFT
Short Range Air Defence,SHORAD
Short Range Ballistic Missile,SRBM
Short Service Commission,SSC
Short/Vertical Take-off and Landing,S/VTOL
Signal,sig
Signal Centre,sigcen
Signal Despatch Service,SDS
Signal Intelligence,SIGINT
Signature,sign
Simulate/Simulator,sim
Simulated Attack Profile,SAP
Single Side Band,SSB
Situation,sit
Situation Report,SITREP
Situation Template,SITTEMP
Situational Training Exercise,STX
Sketch,sk
Small Arms,SA
Small Arms Ammunition,SAA
Small Group Operation,SGO
Smoke,smk
Soldier (ly),sldr
Solution,soln
Sonar Control Room,SCR
Sonar Sound Telephony,SST
Sound Ranging,Srg
Source,src
Spanner,spnr
Spare Parts Distributing Centre,SPDC
Speak,spk
Special Air Operation,SAO
Special Bangladesh Army Order,SBAO
Special Boat Combat Crew,SBCC
Special Boat Squadron,SBS
Special Investigation Branch,SIB
Special Occurrence Report,SOR
Special Sea Exercise Program,SSEP
Special Security Force,SSF
Specialize,spl
Specify,spec
Speed,spd
Speed of Advance,SOA
Squadron,sqn
Square,sq
Staff Continuation Training,SCT
Staff Course,SC
Staff Officer,SO
Standardize,std
Standing Operating Procedure,SOP
Start Line,SL
Station,sta
Stationery,sty
Steel Wire Rope,SWR
Stenographer,steno
Strafing,stg
Strategic(al)/Strategy,strat
Strength,str
Sub Surface Raid Reporting Control Ship,SSRRCS
Subject,subj
Submarine,SS
Submarine Launched Ballistic Missile,SLBM
Submarine Operating Area,SOA
Submarine Operating Authority,SUBOPATH
Submarine Probable Area,SPA
Subordinate,subord
Subscription,subs
Substantive,subt
Suggest/Suggestion,sug
Subject Indicator Code,SIC
Summary Court Martial,SCM
Summary General Court Martial,SGCM
Summary of Evidence,S of E
Summer Training,ST
Supervision/Supervise,spv
Super High Frequency,SHF
Superintendent,suptd
Superintending Engineer,SE
Supernumerary,sny
Supplementary Intelligence Report,SUPINTREP
Supply,sup
Supply and Secretariat,S&S
Supply and Transport,ST
Supply Issue Point,SIP
Supply Point,sup P
Support/Supporting/Supported,sp
Supporting Arms Coordinating Centre,SACC
Suppression of Enemy Air Defence,SEAD
Surface,su
Surface Action Group,SAG
Surface Decompression,SURD
Surface Raid Reporting Control Ship,SRRCS
Surface to Air Missile,SAM
Surface to Surface Guided Weapon,SSGW
Surface to Surface Missile,SSM
Surface Warfare,SW
Surplus,sur
Surveil/Surveillance,surv
Surveillance and Target Acquisition (Plan),STA(P)
Surveillance Control and Reporting,SC&R
Survey,svy
Special Warfare Diving and Salvage,SWADS
Switch,sw
Switchboard,swbd
Symbol,sym
Synchronize,sync
Syllabus,syl
Syndicate,syn
System,sys
Table of Organization and Equipment,TO&E
Tabulated Record and Comparative Evaluation,TRACE
Tactic(al)(s),tac
Tactical Air Control Centre,TACC
Tactical Air Control Party,TACP
Tactical Air Management,TAM
Tactical Air Request,TAR
Tactical Air Support of Land/Maritime Operations,TASLO/TASMO
Tactical Area of Operational Responsibility,TAOR
Tactical Doctrine,TD
Tactical Command,TACOM
Tactical Control,TACON
Tactical Exercise Without Troops,TEWT
Tactical Headquarters,Tac HQ
Tactical Reconnaissance,tac R
Tactical Redeployment,TRD
Taka,Tk
Taken on Strength,TOS
Tank,tk
Target,tgt
Target Area of Interest,TAI
Target Engagement Message,TEM
Target Indicator Unit,TIU
Task Force,TF
Technical Investigation Report,TIR
Technical Maintenance,TM
Technical Support Team,TST
Technical Training Institution,TTI
Telephone Control Box,TCB
Telephone Conversation,telcon
Temperature,temp
Temporary,ty
Temporary Duty,tdy
Temporary Maintenance Instruction,TMI
Temporary Minimum Risk Route,TMRR
Tentacle,tcl
Terrain Analysis,TERAN
Time Critical Asset,TCA
Time Mechanical Fuze,TM fuze
Time of Despatch,TOD
Time of Receipt,TOR
Time Past a Point,TPP
Time Phase Line,TPL
Top Secret,TOPSEC
Torpedo Countermeasure,TCM
Torpedo Danger Area,TDA
Torpedo Danger Zone,TDZ
Toxic Incident Report,TOXREP
Track,tr
Tractor,tcr
Tradesman (men),tdn
Traffic (ability),tfc
Traffic Collision Avoidance System,TCAS
Traffic Control,TC
Traffic Control Post,TCP
Trailer,tlr
Train Despatch Service,TDS
Training,trg
Transmission,tx
Transmitting Station,TS
Transfer of Technology/Time on Target,TOT
Transport (ed) (ing),tpt
Transportation,tn
Transporter,tptr
Trigonometrically/Trigonometry,trig
Troop,tp
Troop Carrying Vehicle,TCV
Tube-launched Optically guided Warhead,TOW
Tutorial Discussion,TD
Tug Repair and Logistic Area,TRALA
Ultra High Frequency,UHF
Ultra Low Frequency,ULF
Umpire,ump
Unclassified,uncl
Unarmed/Unmanned Aerial System/Vehicle,UAS/UAV
Unarmed/Unmanned Combat Aerial Vehicle,UCAV
Unconventional,unconv
Unconventional Warfare,UCW
Unconventional Warfare Force,UWF
Under Command,UC
Under Command for Administration,UCADMIN
Under Command for Daily Maintenance,UCDM
Under Command for Movement,UCM
Under Mentioned,u/m
Underwater Warfare,UWW
Unexploded Bomb,UXB
Uniform,unf
Unmanned Aerial Vehicle,UAV
Unmanned Combat Aerial Vehicle,UCAV
Urgent,urg
Utilize,ut
United Nations Convention on the Law of the Sea,UNCLOS
Vacancy,vac
Vacuum,vacu
Vanguard,vangd
Variable Depth Sonar,VDS
Variable Time,VT
Vehicle Waiting Area,VWA
Vehicle/Vehicular,veh
Vehicle Borne,VB
Vehicle Borne Improvised Explosive Device,VBIED
Vehicle Radio Communication,VRC
Vehicle Sub-Depot,VSD
Vehicle(s) off the Road,VOR
Vehicles Per Mile,vpm
Velocity,vel
Venereal Disease,VD
Vertical Replenishment,VERTREP
Vertical/Short Take-off and Landing,V/STOL
Very High Frequency,VHF
Very Low Frequency,VLF
Very/Very Very Important Person,VIP/VVIP
Very Short Range Air Defence,VSHORAD
Visit Board Search and Seizure,VBSS
Veterinary,vet
Vice,V(title)
Village,vill
Village Defence Party,VDP
Visible/Visibility/Visual,vis
Visual Display Unit,VDU
Visual Flight Rules,VFR
Visual Meteorological Conditions,VMC
Visual Reconnaissance,VR
Visual Signalling,V/S
Vocabulary,vocab
Volume,vol
Vulnerable,vul
Vulnerable Area,VA
Vulnerable Point,VP
Vessel Traffic Monitoring System,VTMS
Wagon Line,WL
Walkie Talkie,wktk
War Establishment,WE
War Game,WG
War Maintenance Reserve,WMR
Wardroom,WR
Ware House Inventory Management System,WHIMS
Warning,wng
Warning Order,WngO
Watch Keeper,w/k
Water Line,WL
Water Point,WP
Water Trailer,W Tlr
Waterproof,wpf
Watertight,wth
Weapon (ry),wpn
Weapon Free Zone,WFZ
"Weapon, Equipment & Statistics",WE&S
Weather,wx
Weight (age),wt
Wheel,wh
Wing,wg
Wireless,wrls
Wireless Set,WS
Wireless Telegraphy,W/T
With Effect from,wef
With Reference to,wrt
Withdraw,wdr
Words per Minute,wpm
Work Order,WkO
Workshop,wksp
World Wide Web,www
Wounded in Action,WIA
Yard,yd
Year Ending,YE
Year (ly),yr
Young Officer,YO
Zone(s),Z
Zone Commander,ZC
Zone of Fire,ZF
Zone (al) Headquarters,ZHQ
Zone (al) Military Commander,ZMC
Brigade Administrative Area; Bangladesh Army Act,BAA
Bir Bikram; Baily Bridge; Battleship,BB
Basic Commando Course; Basic Conversion Course,BCC
Bomb Disposal; Battle Dress,BD
Bring/Brought Forward,BF
Bill of Landing; Bomb Line,BL
Book of Reference; Bangladesh Railway,BR
Bridge; Branch,br
Building; Build,bldg
Casual/Casualty,cas
Counter Bombardment; Charge Book; Circuit Breaker,CB
Contingent Commander; Cruiser; Compensatory Chance,CC
Casualty Collection Point/Post,CCP
Centre of Gravity; Guided Missile Cruiser,CG
Chief Instructor/Counter Insurgency,CI
Certificate/Certified Issue Voucher,CIV
Confinement to Lines; Civil Liaison; Light Cruiser,CL
Commander Land Forces/Landing Force,CLF
Clerk/Clerical,clk
Clothe/Cloth,clo
Course of Action; Committee of Adjustment,COA
Communicate; Communication,Comm
Command Post; Critical Point,CP
Casualty Return; Central Register,CR
Certificate/Certified Receipt Voucher,CRV
Cryptographer/Cryptography,crypto
Call sign/Commando Ship,CS
Covering Troops/Currency Training; Counter Terrorism,CT
Aircraft Carrier; Combat/Command Vehicle,CV
Distributing Authority; Daily Allowance,DA
Defence Attache; Drafting Authority,DA
Defend/Defense,def
Depot/Depart,dep
Defensive Fire; Direction Finding,DF
Deficiency/Deficient,dfc
Director General/Degaussing/ Danger Good,DG
Decision Height; Direct Hit,DH
Differ/Different,diff
Divide/Division,div
Daily Maintenance; Disaster Management,DM
Daily Maintenance Allowance; Daily Messing Allowance; Divisional Maintenance Area,DMA
Distribution Point; Delivery Point; Dumping Point; Decision Point,DP
Despatch Rider; Discrepancy Report,DR
Directing Staff; Direct Support; Deputy Secretary,DS
Decision Support Template; Director of Supply and Transport,DST
Driver/Driving,dvr
Drop Zone/Danger Zone,DZ
Emergency Cash Requisition,ECR
Enemy Contact Report; Engine Control Room,ECR
Electric/electrical/electrician/electricity/electronic,elec
Embussing/Embarkation,emb
Estimated Time of Arrival/Completion/Departure/Return,ETA/C/D/R
Early Warning; Electronic Warfare,EW
Electronic Warfare Control Ship/Station,EWCS
Explode; Explosive,expl
Fighter; Fleet,F
Firm Base; Fighter Bomber; Fire Base,FB
Fighter Control/Controller; Finance Controller; Field Craft,FC
Freedom Fighter; Field Firing/ Frigate,FF
Fire/Free Flight Rocket; Fitted for Radio,FFR
Fitness Inspection; Fleet Instruction,FI
Flight Information Region/Friendly Information Requirement,FIR
Flight Information Service; Flying Instructor's School,FIS
Frequency Modulated/Modulation,FM
Foreign Object Detection; Forward Ordnance Depot.,FOD
Frequent/Frequency,freq
Field Security/Service,FS
Field/Formation Training Exercise,FTX
Fighting; Fight,ftg
Fixed Wing; Fresh Water,FW
Ground Attack; General Alert,GA
General Air Picture/Plot,GAP
General Deployment Plan; Gun Direction Platform,GDP
Guerrilla Warfare; Guided Weapon,GW
Hull/Hydrographer (BN only),H
High Explosive; Hydrophone Effect,HE
High Frequency; Harassing Fire,HF
Hospital/Hospitalized,hosp
Horse Power; High Power,HP
International Boundary; Inflatable Boat ,IB
"In Charge, Internal Combustion",IC
Image Intensification/Intensifier,II
Institute/Institution,inst
Insurgency/insurgent,Insurg
Intelligence/Intelligent,Int
Instructional Practice; Initial Point,IP
Intelligence Surveillance and Reconnaissance,ISR
Identification Safety Range; Infantry Support Raft ,ISR
Individual Training; Information Technology; Instructional Technique,IT
Key Area; Killing Area,KA
Laboratory/ Labour,lab
Local Air Picture/Plot,LAP
Landing Craft Mechanized/Medium,LCM
Leading/ Landing,ldg
Locality/ Locate,loc
Line of Defense; Line of Departure,LOD
Longitude/longitudinal(ly),long
Landing Point; Local Purchase; Low Power,LP
Large Patrol Craft; Last Pay Certificate,LPC
Light(ly)/Left,lt
Magazine/Magnetize,mag
Main Effort; Map Exercise,ME
Master/Mixer Control Unit,MCU
Material/materiel,mat
Mechanical/ Motor Transport,MT
Medical/Medicine/Medium,med
Medium Range System; Master Radar Station,MRS
Medium Range; Multi-Role,MR
Meteorology/meteorological/meteorologist,met
Military Assistant/Attaché; Medical Assistant; Maintenance Area,MA
Mine Sweeper; Mile Stone,MS
Minute; Minimum/Minimize,min
Mission Oriented Task; Mission Oriented Training,MOT
Mobile Observer Unit; Memorandum of Understanding,MOU
Mobile/Mobilize,mob
Modify; Modality,mod
Mobile/Mortar Fire Controller,MFC
Motor Cycle; Movement Control; Mobility Corridor,MC
Mine Warfare; Mountain Warfare,MW
Mount; Mounting; Mounted,mt
Object; Objective,obj
Operational Control/ Conversion Unit,OCU
Over Head Protector/Projection,OHP
Over the Horizon Radar; Operational Hazard Report,OHR
Observer Target; Operation Theatre,OT
One Time Process/Pad,OTP
Paragraph; Parachute; Paratrooper,para
Public Address; Public Affairs,PA
Personal Assistant; Personnel Administration,PA
Plastic Explosive; Promotion Exam,PE
Personal; Personnel,pers
Photographic Interpretation/interpreter,PI
Phase Line; Pipe Line,PL
Platoon; Please,pl
Photographic Reconnaissance; Public Relations,PR
Provost; Produce,pro
Public; Publish/Publication,pub
Prisoner of War; Prosecution Witness,PW
Personal Staff; Play Slot,PS
Quantify/Quantity,qty
Qualified/Qualify/Qualification,qual
Random Access Memory; Risk Assessment Matrix,RAM
Radio Telephone/Telephony; Religion Teacher,RT
Receipt Voucher; Rendezvous,RV
Recoilless Rifle; Radio Relay,RR
Record/Retired Officer,RO
Record; Recovery,rec
Refuelling Point; Regimental Police; Replenishment Park,RP
Regular; Regulate,reg
Register/Registered,regd
Reinforced Cement Concrete; Rescue Coordination Centre,RCC
Release; Relieve,rel
Rest and Refit/Recuperation,R&R
Road; Round,rd
Rotation Per Minute; Round Per Minute,rpm
Runway; Riverine Warfare; Rotary Wing; Research Work,RW
Sanitary/Sanitation,san
Satellite; Sea Acceptance Trials,SAT
Special Branch; Stretcher Bearer; Selection Board,SB
Service Dress; Staff Duty,SD
Supporting Effort; Secondary Effort,SE
Section/sector (al); Second,sec
Security Force(s); Striking Force(s),SF
Special Force(s); Safety Fuse,SF
Security Intelligence; Senior Instructor; Simple Imprisonment,SI
Start Line; Search Light,SL
Sub Machine Gun; Speed Made Good,SMG
Save Our Soul; Struck off Strength,SOS
Self-Propelled; Signal Publication; Start Point,SP
Surveillance Radar; Short Range,SR
Station Supply/Stores Depot,SSD
Guided Missile Submarine; Special Service Group,SSG
Statistics/Statistical,stat
Surface Picture/Plot,Su P
Torpedo Anti-Submarine; True Air Speed,TAS
Task Element/Force/Group/Unit,TE/F/G/U
Technical/Technician/Technique/ Technology,tech
Telephone/Telephonist/Telephony,tel
Terrain; territorial/territory,terr
Telegram/Telegraph(ic)(ist)(y),tg
Thermal Imager(y)/ Imaging,TI
Topographic(al)/Topography,topo
Time Over Target (Aircraft); Transfer of Technology,TOT
Time on Target (Artillery),TOT
Turning Point; Traffic Post,TP
Tele printer; transporter,tptr
Television; Transfer Voucher,TV
Unserviceable/Unserviceability,U/S
Unit Entitlement/Establishment,UE
Unit Repair Organization; Unit Routine Order,URO
Vehicle Check/Collecting Point,VCP
Vehicle Covering Diagram; Vertical Coverage Diagram,VCD
"Work, Week(ly)",wk
Weapon Training; Water Tight; Winter Training,WT